"","year","mcmc_med_ssb","lwr_95_ssb","upr_95_ssb","mle_ssb","mcmc_med_rec","lwr_95_rec","upr_95_rec","mle_rec","mcmc_med_totbiom","lwr_95_totbiom","upr_95_totbiom","mle_totbiom"
"11",11,221.08880247638,179.726805199524,271.423179208177,236.754557406261,16.1537259038985,7.24899292744408,34.6939487098647,18.6154486778693,509.053424707514,432.838100854133,611.913412668685,544.185607907271
"12",12,208.127850734842,168.595404101635,256.638007031567,223.042699392607,15.2397095924765,6.96514767168612,31.8594392382921,17.688889581457,480.576138423471,407.502399613213,579.675167956321,514.61346517096
"13",13,192.724570573855,154.996542270472,239.704667675537,206.825182301309,14.4962990365356,6.66395000770489,29.8633043999933,16.8231032800813,446.363292735019,376.636294614019,542.380208253319,479.427701384571
"14",14,172.941495192142,137.261483752141,218.148945099704,186.043717004471,13.7190591491564,6.50859601071233,27.5635052964239,16.0108775566682,403.482075195916,336.766456723615,495.704009103637,435.087599314571
"15",15,160.521756898421,126.2420995482,204.280957758286,173.126129614434,13.0953055929793,6.2648006978313,25.7892191026635,15.3436993552831,376.59726976995,313.029669097866,465.368480701328,407.566068650744
"16",16,148.99023114539,116.167274328826,191.120382236526,161.155733766622,5.58122184013862,1.32358743556048,16.9557799145384,7.40312793665644,344.812898582376,285.586244060615,428.176556221633,374.765270329715
"17",17,139.39959921223,108.220056861582,179.733502301196,151.315380235275,5.39894358115226,1.31074285307282,15.9010909429177,7.22016072347866,316.596889579534,261.646953185302,394.292652790453,345.53960900823
"18",18,128.634338393386,99.1790350248782,167.275368860754,140.241384425707,5.57008082699575,1.3359904279238,16.302678401442,7.3225385137517,286.18028092616,235.602145879984,358.043277617835,313.966251547243
"19",19,121.99389039362,94.0042224210813,158.932999936893,133.551877692922,6.7683518063136,1.53271076055036,19.7652174239201,8.72157963362505,267.092966621459,219.722573165543,334.345641437691,294.189649890877
"20",20,119.899380050851,93.4092794285833,154.950040760705,131.629954960498,15.8495006941053,3.03115902655414,44.8638858046419,20.2014420073101,269.519258405046,222.294564199405,336.424079450171,297.94728735308
"21",21,116.739243718077,91.904732137342,149.66776200353,128.544248578463,57.4520998734147,20.883991131223,90.9491437066572,64.403538326457,314.323751181146,262.522761994617,388.520000356279,349.711305842992
"22",22,114.252420423818,91.207040051555,145.098173568828,126.090812151986,12.8783527667074,2.16943716096597,47.3358416566826,14.1284631814826,328.352787991246,276.097236408339,404.081204437989,362.258121766173
"23",23,112.29214926661,91.0153578781462,141.182077758697,124.097395925058,20.6088003698555,3.06343677300874,66.7934901209464,22.8641065169178,348.541305795872,291.633418911742,430.735150767065,379.900355645371
"24",24,114.55194462885,94.3161017380512,142.103823710177,126.638414602472,52.8243037915677,9.16554494848229,86.4007169366799,62.6856172475022,397.796322112766,338.556114417407,486.21709067371,439.937407157481
"25",25,121.262270703738,101.321609181333,148.664650795873,133.98137833948,9.83060400246183,1.88671082468111,34.9840643139437,9.631700652067,412.570446245065,353.882892086402,500.689899312494,452.50111530795
"26",26,131.302578639912,110.799713263675,159.707648141925,144.706949998126,9.9626452845868,2.08599719526799,27.9220551536405,10.3370722729899,419.652992371864,361.478014169488,506.613157366804,457.323144390069
"27",27,143.795864540012,122.167066276351,173.858010939266,157.877372610764,14.072504863497,3.18324492178862,30.3514188913558,18.1995563701751,425.181218829262,369.012430685561,509.92880574028,464.5117480886
"28",28,150.884053389163,128.262373228509,182.514729211475,165.155264765029,6.70001369389781,1.60086804820798,17.8038813634999,7.09549986232727,406.452555742822,352.666335575867,487.539459466614,442.528724870063
"29",29,152.633834998113,129.438035493509,185.570984585198,166.764164282387,5.32611279743598,1.31411728857009,14.4858540227098,5.68108184815085,376.560234136565,325.757312992619,453.250624048938,408.573108530609
"30",30,148.565023998678,125.146523240108,182.073770211413,162.151682142961,9.09185006557762,2.31487885562407,19.8662766167671,10.3928734987258,344.369604138695,296.284477530195,416.353090401399,373.162435049907
"31",31,141.023803420702,117.811403504016,174.347164109609,153.829833843629,8.86141450040191,2.04616151421275,21.6885701441751,9.2759376677924,314.843730683814,269.640509547711,383.171913591138,339.58015747361
"32",32,131.751922843316,109.199397626996,164.228598805699,143.548320879638,20.2003220513837,7.79442104200706,32.3742812895477,22.0938525181514,301.0178680687,257.534868549382,366.974736798399,324.510266446639
"33",33,121.927486581218,100.506207654717,152.825711466934,132.588093966585,7.52705424640557,1.68125156337482,20.419451584298,7.67873430753342,281.545850370699,240.22003694792,344.094526221071,301.634384331954
"34",34,112.549138936068,92.3161448090829,141.803930322922,122.060509508606,17.2564526241091,5.56884697600139,29.6598910991293,18.8672668542195,273.547864861507,233.385235602665,335.03498823828,292.880331491658
"35",35,103.088001807803,84.2440384626262,130.555434038762,111.350624242558,10.155309624007,2.50537970600869,21.5787945851049,10.704241344285,259.119665144999,220.372343357168,318.377660249933,276.359904453003
"36",36,95.5781528904039,77.8985270310979,121.528852517888,102.856146107258,8.08299083150004,2.10993523795034,17.5167390949687,8.76660135102819,244.384255512707,207.093401355366,301.548822129234,259.885555908996
