"","year","mcmc_med_ssb","lwr_95_ssb","upr_95_ssb","mle_ssb","mcmc_med_rec","lwr_95_rec","upr_95_rec","mle_rec"
"21",21,124.541393340744,98.3328931575323,159.351405012675,126.947015862895,63.8651669125643,25.2060097012279,101.214884451124,63.4617383358158
"22",22,122.521577975913,98.1867918361181,155.204294787221,124.780543319227,14.1298403138897,2.46860132661657,51.1796705434858,14.3937307365524
"23",23,121.13862066633,98.4563502218944,151.891427390943,123.074482686848,21.7503116555377,3.37169986891817,70.1345266963032,22.9139358306933
"24",24,124.356172158978,102.5772594347,153.908886730532,125.830518685202,55.7045872161768,10.7892235632768,89.7319948440408,62.2100230199758
"25",25,132.340600634511,110.672376512508,161.907295212591,133.30455416138,10.1260389827177,2.00879925081283,35.8437366065172,9.5352929592145
"26",26,143.763879731288,121.432758328753,174.315467825918,144.08658416908,10.3033679242986,2.23675166670298,28.6354152245752,10.2737068769285
"27",27,157.548693647759,133.73754058749,190.103473472808,157.267892964565,14.7481499463595,3.41310139661521,31.5703463356791,18.1979414833421
"28",28,164.988529485369,140.169659415245,199.080004601766,164.536455783482,6.98068811995963,1.67413803013855,18.3980910783013,7.02713515541264
"29",29,166.450484095823,141.068374142589,201.825036179346,166.122476622587,5.50891691701319,1.37407815930488,15.0466535071988,5.63100970324087
"30",30,161.437221838357,135.961434861545,197.342309562247,161.482592988098,9.49969856523581,2.49508395028352,20.5115222414407,10.3731256587435
"31",31,152.710968788121,127.717424202256,188.29993020009,153.146684699334,9.16664469018573,2.14320003722549,22.3693843891683,9.23265687448408
"32",32,142.277139994911,118.013130238108,176.525637538816,142.87035544935,21.1292146504939,8.33271055873792,33.724149071217,22.0480611372994
"33",33,131.328645011683,108.264412308213,163.872513012209,131.930241333073,7.83088698842581,1.78886249507965,21.2189628853721,7.60529015172214
"34",34,120.910775954118,99.1834733994373,151.836379620572,121.429808582044,17.9102744080422,5.52549657187355,30.7886918007618,18.8043750758262
"35",35,110.452083518961,90.2326938786527,139.418877375094,110.750671597419,10.5988324498668,2.63676545456536,22.5429807395638,10.6373220537667
"36",36,102.068225163265,83.1249592992335,129.47783125228,102.284929322624,8.4100581928368,2.23929873969104,18.3698233289852,8.72015978336815
"37",37,96.4462962347863,78.4043739286788,122.480159521055,96.4775444413868,11.9831106499849,3.43068780536794,22.7245268148817,12.3051090716898
"38",38,93.2071785829373,75.908826341665,118.212321542328,93.162307801773,15.1212069184997,5.69242642870194,25.8664899298499,15.5061717483977
"39",39,91.4797080147931,74.7260647075157,115.723779458171,91.3774056185773,8.22691474362947,2.0872108971261,19.2690850837315,8.40775229135344
"40",40,90.2571720020298,73.9137147307732,113.995723444823,90.1014107778289,25.1981763372451,12.8220206531767,38.8339160960061,25.4977202737582
"41",41,89.3777474449449,73.3047433574865,112.669333537295,89.1385038366223,16.4339838087034,4.62607481795456,31.2664054324214,16.8146915013529
"42",42,87.9463017708734,72.062071765515,110.918598851513,87.6105939082388,13.7327531659229,3.26072341511059,29.5306813174108,13.9772084178123
"43",43,88.2943880105382,72.4958112273519,111.279049374028,87.91278218486,30.4000633286745,14.8796341773093,46.5105323996342,30.3396407181901
"44",44,89.5793420677255,73.681844880347,112.731329035383,89.1811770624121,13.682868565272,3.62439834210773,27.72081844807,14.1898226477142
"45",45,91.3431666149696,75.1633185786731,114.937146264068,90.8954367041573,8.85092486410092,2.31211334240849,19.3280786879515,9.1806324527213
"46",46,93.7040731689323,77.1580378981792,117.761075604231,93.1756762233416,9.53799888508118,2.90783476542044,18.3021585891591,9.98737669808455
"47",47,96.7981789941523,79.7417875641029,121.449911327906,96.1908523530979,7.09505211942505,2.02230335489021,15.0100694082001,7.2768585227137
"48",48,99.63237963915,82.0904413581478,124.925177038387,99.0048793079181,8.5692555467144,2.58986549438023,16.7112727898217,8.90848043347717
"49",49,100.798911548359,82.878418809012,126.540708504079,100.098752219062,9.36558348721613,2.67448378872847,18.9305579846782,9.6432163232319
"50",50,100.526133158002,82.5415151447894,126.444176698152,99.8226940838099,14.3498610230143,4.91041382946735,25.7207884923956,14.7866022488682
"51",51,99.154560281148,81.3286243162227,124.692621026384,98.4278869889641,14.3426261750602,5.18901609966474,25.3659078480101,14.3832678646047
"52",52,97.2299133109749,79.6599439151516,122.343267295849,96.4493141119181,8.5613123709262,2.37191835835516,18.0425128696244,8.88416395148771
"53",53,94.5392817698597,77.2609727900184,119.108157222796,93.7195420674142,8.46705011498066,2.77386998612886,16.0482885802155,8.91201318236586
"54",54,91.7990990327051,74.8652740063343,115.926032779379,90.9691472575312,4.95366408074107,1.44883424585888,11.1897971207523,5.13883308974836
"55",55,89.5623010333603,72.8137315520459,113.314706593755,88.7208070391458,6.33728766117843,1.79655660823189,14.0570786340558,7.0490219728853
"56",56,88.3559299408241,71.7283645353241,111.791333116397,87.5369101453897,12.6183668995374,4.1715110464625,23.9569881507168,12.3229878491062
"57",57,87.293476421389,70.7680469690959,110.467781666136,86.5243722076662,43.6366760235917,26.3022289917919,65.5281718276427,45.3072259950585
"58",58,86.5574466161968,70.0631523785974,109.604888861113,85.7727502875523,17.8719222207909,3.97809786580072,40.2846037642445,17.4551591640843
"59",59,86.8096709861572,70.0798463736106,110.137097804737,85.9943999260355,99.386907162749,63.5483021333367,145.741948060219,102.153436626082
"60",60,89.7701513748917,72.3734766013635,113.960083613612,88.9650893867351,76.7191345863518,32.3973537184609,124.294319583078,75.3732473984583
"61",61,97.726001972415,78.7446099262467,124.079210590734,96.8585706201603,28.7273912795729,4.43189768079774,74.1603732663154,31.6958381239391
"62",62,112.760326938419,90.9573520147574,143.020171688021,111.929536785579,33.6270987521712,5.30862815829013,74.6524361201352,33.9628853828042
"63",63,135.076524731797,108.972758935641,171.255553943716,134.467877089107,31.2590083799547,4.98093900349114,81.061418215852,37.9434675506021
"64",64,161.546063981998,129.968903856719,204.93648316754,161.218932396753,25.251818581339,3.6958386783256,78.9785793536873,32.867419409469
"65",65,190.201061133999,153.123377819286,241.128391093968,190.086306492173,28.624197313787,4.05669953827033,105.622570329129,31.184169002633
"66",66,216.243525846834,174.094074595891,273.434466283706,216.45210961345,17.5094300856143,13.7345102438495,23.1040802110609,19.4687866289376
